"count","slice_num","gene","coord_x","coord_y"
12,29,"Slc17a7",7.1547267624798,4.80701887492871
1,29,"Pvalb",7.23706563974496,4.8008461965801
4,29,"Slc17a7",7.73991783507463,5.16604967066023
4,29,"Slc17a7",3.97138195378952,4.76272159739296
2,29,"Slc17a7",6.82339300840124,5.29237415180335
1,29,"Slc17a7",5.81582916923524,5.02733119941313
2,29,"Slc17a7",3.81825216051679,4.77272412708581
1,29,"Pvalb",7.51249238872432,5.2295560179061
6,29,"Slc17a7",7.51249238872432,5.2295560179061
11,29,"Slc17a7",1.62402369308015,3.6240949903669
17,29,"Slc17a7",1.38370253330161,4.27371949272021
1,29,"Pvalb",3.52949339484691,4.97186788566067
12,29,"Slc17a7",3.52949339484691,4.97186788566067
1,29,"Vip",3.52949339484691,4.97186788566067
14,29,"Slc17a7",7.03186654660995,5.05343150260891
1,29,"Vip",7.03186654660995,5.05343150260891
8,29,"Slc17a7",7.74457838720393,1.07064844501732
4,29,"Slc17a7",3.85549323800522,4.73385142424262
2,29,"Slc17a7",8.04324871209785,4.9583173935531
11,29,"Slc17a7",7.16770138677185,4.76364233160066
1,29,"Pvalb",5.65432346253339,5.22886709092717
8,29,"Slc17a7",5.65432346253339,5.22886709092717
1,29,"Pvalb",7.14488686887849,5.35753691930683
3,29,"Slc17a7",7.14488686887849,5.35753691930683
2,29,"Vip",7.14488686887849,5.35753691930683
11,29,"Slc17a7",7.10017296137128,1.61380352220605
3,29,"Slc17a7",3.90461403205119,1.41296346060609
2,29,"Slc17a7",6.84498507694038,5.27023929088092
13,29,"Slc17a7",3.83262013414885,4.75174426836189
13,29,"Slc17a7",6.70057230080081,5.09860838545153
6,29,"Slc17a7",7.59293878961728,1.17177361982283
3,29,"Slc17a7",3.09876689513504,5.02226625260768
10,29,"Slc17a7",3.917390220312,1.45181699897587
4,29,"Slc17a7",2.77594571364798,0.75227968969075
1,29,"Pvalb",4.03939645663895,5.02142580202515
21,29,"Slc17a7",4.03939645663895,5.02142580202515
27,29,"Slc17a7",4.06304020974889,5.06266109841732
16,29,"Slc17a7",3.5674244816553,4.98412435696014
5,29,"Slc17a7",3.67396707366076,5.32493923176608
3,29,"Slc17a7",7.17816275306908,4.73088379139695
1,29,"Pvalb",7.00973678476924,4.8041046226466
6,29,"Slc17a7",7.00973678476924,4.8041046226466
3,29,"Slc17a7",7.66890963840482,1.11656485884058
2,29,"Slc17a7",6.58572939949205,4.85233379843553
6,29,"Slc17a7",4.7819978203259,4.96529970588674
7,29,"Slc17a7",3.94357960652019,5.32075850738944
1,29,"Tac2",3.70515975246927,4.69976244205696
9,29,"Slc17a7",3.70515975246927,4.69976244205696
5,29,"Slc17a7",4.36926627903311,4.85279890784241
4,29,"Slc17a7",3.02210001640853,4.96942805275184
15,29,"Slc17a7",3.02996038832709,4.80913191316926
2,29,"Slc17a7",8.12044155523388,4.86469812530084
3,29,"Slc17a7",7.72118214680352,5.17079161868466
16,29,"Slc17a7",7.22273517993543,1.41045261776099
1,29,"Tac2",4.19181547184663,5.21716674577798
6,29,"Slc17a7",4.19181547184663,5.21716674577798
