"count","bin","celltype","gene","mouse","cell_num","hemisphere","age"
0,86,"Glut","BCL11B","1","1527462100128100182","left","12"
0,84,"Glut","BCL11B","1","1527462100128100184","left","12"
0,84,"Glut","BCL11B","1","1527462100128100185","left","12"
0,84,"Glut","BCL11B","1","1527462100128100187","left","12"
1,79,"Glut","BCL11B","1","1527462100128100189","left","12"
0,83,"Glut","BCL11B","1","1527462100128100190","left","12"
0,83,"Glut","BCL11B","1","1527462100128100191","left","12"
0,88,"Glut","BCL11B","1","1527462100128100194","left","12"
3,83,"GABA","BCL11B","1","1527462100128100195","left","12"
0,83,"Glut","BCL11B","1","1527462100128100197","left","12"
0,83,"Glut","BCL11B","1","1527462100128100198","left","12"
0,82,"Glut","BCL11B","1","1527462100128100199","left","12"
0,82,"Glut","BCL11B","1","1527462100128100200","left","12"
0,82,"Glut","BCL11B","1","1527462100128100201","left","12"
0,81,"Glut","BCL11B","1","1527462100128100204","left","12"
0,82,"Glut","BCL11B","1","1527462100128100208","left","12"
0,82,"Glut","BCL11B","1","1527462100128100211","left","12"
0,81,"Glut","BCL11B","1","1527462100128100212","left","12"
0,81,"Glut","BCL11B","1","1527462100128100213","left","12"
0,90,"Glut","BCL11B","1","1527462100128200109","left","12"
0,85,"Glut","BCL11B","1","1527462100128200162","left","12"
0,99,"Glut","BCL11B","1","1527462100129100059","left","12"
1,99,"Glut","BCL11B","1","1527462100129100066","left","12"
0,98,"Glut","BCL11B","1","1527462100129100067","left","12"
0,97,"GABA","BCL11B","1","1527462100129100085","left","12"
0,96,"GABA","BCL11B","1","1527462100129100087","left","12"
0,98,"Glut","BCL11B","1","1527462100129100089","left","12"
0,99,"Glut","BCL11B","1","1527462100129100090","left","12"
0,95,"Glut","BCL11B","1","1527462100129100095","left","12"
1,96,"Glut","BCL11B","1","1527462100129100096","left","12"
0,99,"Glut","BCL11B","1","1527462100129100097","left","12"
0,98,"Glut","BCL11B","1","1527462100129100103","left","12"
0,96,"Glut","BCL11B","1","1527462100129100110","left","12"
0,94,"Glut","BCL11B","1","1527462100129100112","left","12"
1,98,"GABA","BCL11B","1","1527462100129100115","left","12"
0,96,"Glut","BCL11B","1","1527462100129100116","left","12"
0,95,"Glut","BCL11B","1","1527462100129100117","left","12"
0,96,"Glut","BCL11B","1","1527462100129100118","left","12"
0,96,"Glut","BCL11B","1","1527462100129100119","left","12"
0,98,"Glut","BCL11B","1","1527462100129100121","left","12"
1,100,"Glut","BCL11B","1","1527462100129100123","left","12"
0,98,"Glut","BCL11B","1","1527462100129100125","left","12"
0,98,"Glut","BCL11B","1","1527462100129100126","left","12"
1,99,"GABA","BCL11B","1","1527462100129100127","left","12"
0,97,"Glut","BCL11B","1","1527462100129100129","left","12"
1,100,"Glut","BCL11B","1","1527462100129100130","left","12"
0,93,"Glut","BCL11B","1","1527462100129100131","left","12"
0,98,"Glut","BCL11B","1","1527462100129100132","left","12"
0,98,"Glut","BCL11B","1","1527462100129100136","left","12"
0,96,"Glut","BCL11B","1","1527462100129100137","left","12"
0,93,"Glut","BCL11B","1","1527462100129100139","left","12"
0,94,"Glut","BCL11B","1","1527462100129100142","left","12"
5,99,"GABA","BCL11B","1","1527462100129100145","left","12"
0,98,"GABA","BCL11B","1","1527462100129100146","left","12"
