"","parameter","estimate","CI.low","CI.high","p.value","p.value.adj","alpha.adj","significance"
"158","beta_tpoint_cortex_Rorb_right_X_Tns/Blk2",0.979747283371249,-1.79952062333481,3.03861930110546,0.187700642054575,10.3235353130016,0.000909090909090909,"ns"
"159","beta_tpoint_cortex_Rorb_18_X_Tns/Blk2",1.62782763603589,-1.25232363846644,3.81785093473976,0.0220706260032103,2.16292134831461,0.000510204081632653,"ns"
"160","beta_tpoint_cortex_Rorb_right18_X_Tns/Blk2",-0.701076792697577,-3.57004547135352,2.23140703768723,0.407504012841092,14.2626404494382,0.00142857142857143,"ns"
"161","baseline_cortex_tpoint_Rorb_Tns/Blk3",84.5465427270524,83.2988858678819,85.1291827902596,NA,NA,NA," "
"162","beta_tpoint_cortex_Rorb_right_X_Tns/Blk3",0.397375971140472,-1.28021231907998,2.62611198800916,0.471007223113965,14.6012239165329,0.00161290322580645,"ns"
"163","beta_tpoint_cortex_Rorb_18_X_Tns/Blk3",2.95623163039749,1.39071375748222,5.39058080950901,0,0,0.000280898876404494,"***"
"164","beta_tpoint_cortex_Rorb_right18_X_Tns/Blk3",-1.47094069839904,-4.08729241155968,0.935848122017085,0.0230738362760835,2.2381621187801,0.000515463917525773,"ns"
"165","baseline_cortex_tpoint_Satb2_Tns/Blk1",65.8488129079416,64.5597564697417,66.5138115521521,NA,NA,NA," "
"166","beta_tpoint_cortex_Satb2_right_X_Tns/Blk1",0.413553622792429,-1.73030419787317,2.17116460355436,0.443619582664527,14.1958266452648,0.0015625,"ns"
"167","beta_tpoint_cortex_Satb2_18_X_Tns/Blk1",-1.40988841942193,-3.5429891950281,1.18218613925489,0.0299959871589085,2.78962680577849,0.000537634408602151,"ns"
"168","beta_tpoint_cortex_Satb2_right18_X_Tns/Blk1",-0.0472304410013058,-0.75651734682155,1.42235307043631,0.90529695024077,6.33707865168539,0.00714285714285714,"ns"
"169","wfactor_point_1_X_Bcl11b",0.0907185341269334,-0.317790236765515,0.360123330174783,0.607243178170144,13.3593499197432,0.00227272727272727,"ns"
"170","wfactor_rate_1_X_Bcl11b",0.257406972084267,0.176997599056354,0.270275631865285,0,0,0.000282485875706215,"***"
"171","wfactor_slope_1_X_Bcl11b",0.223406645760533,-0.809397695960286,4.4521375863483,0.762239165329053,13.720304975923,0.00277777777777778,"ns"
"172","wfactor_point_2_X_Bcl11b",0.276385845523133,-0.0465503026858561,0.440741415372279,0.000401284109149302,0.056982343499201,0.000352112676056338,"ns"
"173","wfactor_rate_2_X_Bcl11b",-0.0434778304494351,-0.16666815091041,0.0959629435452312,0.251705457463884,12.3335674157303,0.00102040816326531,"ns"
"174","wfactor_slope_2_X_Bcl11b",0.0249214812094375,-0.749390876195726,1.5029885752684,0.935593900481541,3.74237560192616,0.0125,"ns"
"175","wfactor_point_3_X_Bcl11b",-0.277305191323513,-0.491669407838277,0.27903326601824,0.0495585874799358,4.06380417335474,0.000609756097560976,"ns"
"176","wfactor_rate_3_X_Bcl11b",-0.366784237295507,-0.417473018939045,-0.338943284678877,0,0,0.000284090909090909,"***"
"177","wfactor_slope_3_X_Bcl11b",2.5290086050747,-0.676442100473788,7.52004477611901,0.0488563402889246,4.10393258426967,0.000595238095238095,"ns"
"178","wfactor_point_4_X_Bcl11b",-0.29788166884346,-0.475632507682759,-0.0823554646531955,0,0,0.000285714285714286,"***"
"179","wfactor_rate_4_X_Bcl11b",-0.212718765941137,-0.279741826424224,-0.186809876523604,0,0,0.00028735632183908,"***"
"180","wfactor_slope_4_X_Bcl11b",0.948791007992513,-0.704916849499682,6.00502119136683,0.234048956661316,11.7024478330658,0.001,"ns"
"181","wfactor_point_1_X_Cux2",0.202990421237113,-0.126631036521181,0.411130445488738,0.0116372391653291,1.2800963081862,0.000454545454545455,"ns"
"182","wfactor_rate_1_X_Cux2",0.221897751761697,0.151755429993528,0.240534734097557,0,0,0.000289017341040462,"***"
"183","wfactor_slope_1_X_Cux2",0.853269072947184,-0.0262358995561753,4.0888376866014,0.0659109149277689,5.07514044943821,0.000649350649350649,"ns"
"184","wfactor_point_2_X_Cux2",0.216747279094453,-0.161982000083671,0.323414506252859,0.0155497592295345,1.63272471910112,0.000476190476190476,"ns"
"185","wfactor_rate_2_X_Cux2",-0.168160787395198,-0.248279152842744,-0.140952009221927,0,0,0.000290697674418605,"***"
"186","wfactor_slope_2_X_Cux2",0.861433837325491,-0.055839289044143,3.89479437929844,0.0513643659711075,4.1091492776886,0.000625,"ns"
"187","wfactor_point_3_X_Cux2",-0.230362816476938,-0.379453226897666,0.322570878670109,0.0638041733547352,4.97672552166935,0.000641025641025641,"ns"
"188","wfactor_rate_3_X_Cux2",-0.344094264955652,-0.382037271387002,-0.31172517226234,0,0,0.000292397660818713,"***"
"189","wfactor_slope_3_X_Cux2",0.383241403892461,-0.461506182013912,4.33527785044263,0.260132423756019,12.4863563402889,0.00104166666666667,"ns"
"190","wfactor_point_4_X_Cux2",-0.193396849435349,-0.362372791269899,0.221737253350206,0.0261837881219904,2.51364365971108,0.000520833333333333,"ns"
"191","wfactor_rate_4_X_Cux2",-0.0830789332142913,-0.200433559538709,0.0450858861914903,0.0068218298555377,0.818619582664524,0.000416666666666667,"ns"
